"","Var1","Freq"
"9","feces",335
"6","ear",217
"16","kidney",169
"18","liver",167
"22","skeletal muscle",147
"3","blood",139
"20","lung",139
"13","heart",136
"7","ectos",129
"1","alc | tiss",120
"33","Whole GI",34
"25","skull | asr | tiss",16
"24","skin | skull | skel | tiss",7
"2","asr | skull | tiss",6
"15","heart+lung",4
"29","tail",4
"12","GI sample",3
"19","Lower GI",3
"28","spleen",3
"31","Upper GI",3
"4","Cecum",2
"8","endos",2
"10","Gastric stomach",2
"11","GI",2
"17","Large Intestine",2
"21","Pregastric stomach",2
"27","Small intestine",2
"5","cestode?",1
"14","heart/lung",1
"23","skeletal muscle + ear",1
"26","skull | skel | tiss",1
"30","Unidentified tissue, possibly endoparasite",1
"32","whole GI",1
